GeneID	P1_fert_egg	P1_s1_cell	P1_s16_cell	P1_s64_cell	P1_s128_cell	P1_s512_cell	P1_high	P1_oblong	P1_sphere	P1_s30pc_epi	P1_shield	P1_s4_somites	P1_s14_19_somites	P1_prim5	P1_prim25	P1_longPec	P2_fert_egg	P2_s1_cell	P2_s16_cell	P2_s64_cell	P2_s128_cell	P2_s512_cell	P2_high	P2_oblong	P2_sphere	P2_s30pc_epi	P2_shield	P2_s4_somites	P2_s14_19_somites	P2_prim5	P2_prim25	P2_longPec	P1TranscriptID	P2TranscriptID	CDS	CDSType	Cor	CorType
ENSDARG00000020521.12	1.712860071	1.70913512	2.935537718	1.110747364	1.930251396	1.771039891	3.02447696	3.605701783	4.556122302	3.241136514	4.332959885	14.19164336	21.68409026	24.35257399	43.12097876	37.10209076	0	0	0	0	0	0	0	0	0	0	0	0	0.3724387227	2.729114518	2.30900507	0.6501291186	ENSDART00000125230.2|protein_coding|exoc6	ENSDART00000022163.8|protein_coding|exoc6	DiffCDSStart	2	PosCor	1
ENSDARG00000009252.8	2.730624105	1.493408632	1.129910466	1.443507967	1.314825554	1.306996225	2.151109191	1.638703459	0.164317314	0.1713707513	0.2348347112	0.5389049838	0.139407923	0.7029522622	0.2072652069	0.7820693788	0.1859236596	0.6569299916	0.4469581904	0.3476503468	0.2659603689	0.1634824385	0.433008338	0.1295989038	0	0.6285901224	0.4696694224	5.396576058	1.050763902	6.142070641	2.146831362	5.636292156	ENSDART00000130687.3|protein_coding|napepld	ENSDART00000023337.7|protein_coding|napepld	SameCDSStart	1	NoCor	0
ENSDARG00000024746.11	0.09781709933	0	0.2179995035	1.192517422	0	1.028423093	0	0	0.337161038	0	4.018882396	82.19699663	532.4860729	340.0557186	307.5920436	79.19669269	3.389103523	4.266893117	2.014246559	1.00471947	1.094344368	1.838390261	4.283504056	3.232322087	4.740203013	17.16258209	18.43265805	19.72465683	92.30483953	120.7656594	88.92641808	50.00487331	ENSDART00000169321.2|protein_coding|hsp90aa1.2	ENSDART00000023550.10|protein_coding|hsp90aa1.2	DiffCDSStart	2	PosCor	1
ENSDARG00000008292.8	44.40201966	113.202089	74.16065498	76.60972616	67.6751941	64.17954007	103.5487411	55.56777342	68.65630351	97.15152135	95.19595035	164.2881497	216.7360126	231.6485199	215.4551885	62.77842353	16.44421569	37.95502237	28.95045879	24.44101181	27.69621586	26.5088967	48.35462861	19.44469829	18.83333183	27.65188464	16.22686758	9.368167599	7.180757565	6.502793364	2.848620394	1.899365644	ENSDART00000175812.1|protein_coding|eif2s3	ENSDART00000023833.5|protein_coding|eif2s3	SameCDSStart	1	NoCor	0
ENSDARG00000006624.11	19.93058531	31.889527	6.559948514	22.58941868	9.043559555	14.48757977	25.40283889	19.8431672	17.63968191	13.03258349	11.01413164	6.270780495	12.26435935	13.23319897	14.67181507	5.991309035	56.43734522	46.59221773	63.05894059	71.00288192	70.81735629	62.04145599	42.27701521	49.12376626	60.56753775	63.84943684	58.93813896	42.37831463	39.65557986	59.6383513	75.40303186	60.25052274	ENSDART00000138334.2|protein_coding|ppp2r2ab	ENSDART00000024127.8|protein_coding|ppp2r2ab	SameCDSStart	1	NoCor	0
ENSDARG00000073710.5	80.19699065	58.82379041	48.86333996	93.38863536	34.1194329	52.73612238	73.07732255	80.35899492	93.02442915	86.26190371	79.6977806	76.29741657	36.54476813	67.90942399	56.2945406	49.06535637	1.105494674	0.3359987121	3.125265785	0.6438636971	1.945502842	1.584782467	0.3827935694	0.7058541946	2.691014318	9.998096889	6.8881498	4.618599469	1.393868136	3.095452256	1.705099163	0.965790485	ENSDART00000150953.2|protein_coding|usp7	ENSDART00000024453.9|protein_coding|usp7	SameCDSStart	1	NoCor	0
ENSDARG00000005645.9	0	0	0	0	0	0	0	0	0	0	0	0.863476316	3.689543318	9.208492067	15.17831804	93.0677621	0.05976160958	0	0	0	0	0.03617428406	0	0	0.9702645852	2.751839145	6.295080798	33.15746822	20.11922541	21.17139601	18.49654274	27.94722136	ENSDART00000023575.8|protein_coding|robo3	ENSDART00000024778.8|protein_coding|robo3	DiffCDSStart	2	PosCor	1
ENSDARG00000018146.7	28.01613409	10.51788944	8.107741302	12.5235532	10.52650775	10.77242286	6.211130145	5.239985005	6.189462319	7.103238024	3.260181715	0.2878254387	0	0	0	0	7.020057374	1.641327025	26.3195437	1.862099618	24.48222557	20.36983268	1.769742655	1.812934906	2.68604678	14.00491449	3.019993238	30.95299162	12.07530876	33.04969969	14.56231095	28.27420385	ENSDART00000138609.1|protein_coding|gpx1a	ENSDART00000025033.7|protein_coding|gpx1a	DiffCDSStart	2	NoCor	0
ENSDARG00000002745.9	33.49327051	39.4160192	31.76987824	50.36252527	19.23627988	35.93954538	36.90005346	41.33918183	26.96097972	26.93671994	60.73237174	63.52036024	124.659655	115.8461764	183.86119	41.53010144	2.420731965	2.521835997	1.829843305	2.037459396	1.930251396	2.779186184	2.619794792	2.560735637	1.363251097	0.8201436956	0.5998887303	0	0.0697039615	0.4441425293	0.3053755211	0.2748720072	ENSDART00000147105.2|protein_coding|tdh	ENSDART00000025509.6|protein_coding|tdh	SameCDSStart	1	NegCor	2
ENSDARG00000035958.8	0.09781709933	0	0	0.7566469503	0	2.719632823	0	0	0.164317314	0.3028940674	4.016629618	10.36919144	95.96842938	294.1931685	254.8414877	23.44926639	0	0	0	0.2026985289	0	0.03617428406	0	0	0	0	1.177504189	0.8267304225	22.60829239	77.76710956	90.75917564	13.78517286	ENSDART00000144750.2|protein_coding|tnni2b.1	ENSDART00000025852.9|protein_coding|tnni2b.1	SameCDSStart	1	PosCor	1
ENSDARG00000020469.12	53.94541198	25.88559303	33.95747028	47.62974735	34.54992981	37.5472979	40.98464373	26.04956833	52.02156694	43.96151145	12.75360089	23.03462479	15.25071614	29.90867725	21.05622718	55.86435512	3.306754042	1.062915146	4.967404178	1.765439815	2.913894727	4.927134952	3.180577418	2.909985879	1.160219337	4.396549261	0.9068891765	1.941286284	0.2327951793	0.3836117326	0.1962206283	2.616606912	ENSDART00000171184.2|protein_coding|map3k7	ENSDART00000025862.10|protein_coding|map3k7	SameCDSStart	1	NoCor	0
